timestamp,Live Zone1,Live Zone2,Live Zone3,Live Zone4,Total Count
0,0,0,0,0,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,5
0,1,1,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
0,1,2,2,1,6
1,1,2,2,1,6
1,1,2,2,1,6
1,1,2,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,7
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,3,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,8
1,1,2,2,1,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,1,2,2,9
2,1,1,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,9
2,1,2,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,3,2,2,10
2,1,2,2,2,10
2,1,2,2,2,10
3,1,2,2,2,10
3,1,2,2,2,10
3,1,3,2,2,10
3,1,3,2,2,10
3,1,3,2,2,10
3,1,2,2,2,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,11
3,1,2,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
3,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
4,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,13
5,1,4,2,3,14
5,1,5,2,3,14
5,1,5,2,3,14
5,1,5,2,3,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,14
5,1,5,2,2,15
5,1,5,2,3,15
5,1,5,2,3,15
5,1,5,2,3,15
6,1,5,2,3,15
6,1,5,2,3,15
6,1,5,2,3,15
6,1,5,2,3,15
6,1,5,2,2,15
6,1,5,2,2,15
6,1,5,2,2,15
6,1,4,2,2,15
6,1,4,2,2,15
6,1,4,2,2,15
6,1,4,2,2,15
6,1,3,2,2,15
6,1,4,2,2,16
6,1,4,2,3,16
6,1,4,2,3,17
6,1,5,2,3,17
6,1,5,2,3,17
6,1,5,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,6,2,3,18
6,1,5,2,3,18
6,1,5,2,3,18
6,1,5,2,3,18
6,1,6,2,3,18
7,1,6,2,3,18
7,1,5,2,3,18
7,1,5,2,3,18
